ref_temp,measured_voltage,temp,,Matthew,,Residuals,percent,max,min
25,-0.026,24.375,,24.37638542,,-0.001385423,-0.005683787,,
25,-0.025,24.4,,24.40096621,,-0.000966208,-0.003959869,,
25,-0.024,24.425,,24.42554572,,-0.000545718,-0.00223426,,
25,-0.023,24.45,,24.45012395,,-0.000123954,-0.000506968,,
25,-0.022,24.475,,24.47470091,,0.000299085,0.001222003,,
25,-0.021,24.5,,24.4992766,,0.000723398,0.002952644,,
25,-0.02,24.525,,24.52385102,,0.001148984,0.004684952,,
25,-0.019,24.55,,24.54842416,,0.001575845,0.006418919,,
25,-0.018,24.575,,24.57299602,,0.002003978,0.00815454,,
25,-0.017,24.6,,24.59756662,,0.002433385,0.009891808,,
25,-0.016,24.625,,24.62213594,,0.002864064,0.011630718,,
25,-0.015,24.65,,24.64670398,,0.003296016,0.013371263,,
25,-0.014,24.675,,24.67127076,,0.003729241,0.015113438,,
25,-0.013,24.7,,24.69583626,,0.004163738,0.016857238,,
25,-0.012,24.725,,24.72040049,,0.004599506,0.018602655,,
25,-0.011,24.75,,24.74496345,,0.005036547,0.020349685,,
25,-0.01,24.775,,24.76952514,,0.005474859,0.02209832,,
25,-0.009,24.8,,24.79408556,,0.005914442,0.023848557,,
25,-0.008,24.825,,24.8186447,,0.006355296,0.025600388,,
25,-0.007,24.85,,24.84320258,,0.006797422,0.027353809,,
25,-0.006,24.875,,24.86775918,,0.007240817,0.029108813,,
25,-0.005,24.9,,24.89231452,,0.007685483,0.030865394,,
25,-0.004,24.925,,24.91686858,,0.008131419,0.032623548,,
25,-0.003,24.95,,24.94142137,,0.008578625,0.034383268,,
25,-0.002,24.975,,24.9659729,,0.009027101,0.036144549,,
25,-0.001,25,,24.99052315,,0.009476846,0.037907385,,
25,0,25,,25.01507214,,-0.015072139,-0.060288558,,
25,0.001,25.02439024,,25.03961986,,-0.015229612,-0.060859075,,
25,0.002,25.04878049,,25.0641663,,-0.015385816,-0.061423415,,
25,0.003,25.07317073,,25.08871148,,-0.015540752,-0.061981598,,
25,0.004,25.09756098,,25.11325539,,-0.015694419,-0.062533643,,
25,0.005,25.12195122,,25.13779804,,-0.015846819,-0.063079569,,
25,0.006,25.14634146,,25.16233941,,-0.01599795,-0.063619394,,
25,0.007,25.17073171,,25.18687952,,-0.016147814,-0.064153136,,
25,0.008,25.19512195,,25.21141836,,-0.01629641,-0.064680815,,
25,0.009,25.2195122,,25.23595593,,-0.01644374,-0.065202449,,
25,0.01,25.24390244,,25.26049224,,-0.016589802,-0.065718057,,
25,0.011,25.26829268,,25.28502728,,-0.016734598,-0.066227656,,
25,0.012,25.29268293,,25.30956105,,-0.016878127,-0.066731265,,
25,0.013,25.31707317,,25.33409356,,-0.01702039,-0.067228902,,
25,0.014,25.34146341,,25.3586248,,-0.017161388,-0.067720586,,
25,0.015,25.36585366,,25.38315478,,-0.017301119,-0.068206335,,
25,0.016,25.3902439,,25.40768349,,-0.017439585,-0.068686165,,
25,0.017,25.41463415,,25.43221093,,-0.017576786,-0.069160097,,
25,0.018,25.43902439,,25.45673711,,-0.017712721,-0.069628146,,
25,0.019,25.46341463,,25.48126203,,-0.017847392,-0.070090332,,
25,0.02,25.48780488,,25.50578568,,-0.017980798,-0.070546671,,
25,0.021,25.51219512,,25.53030806,,-0.01811294,-0.070997182,,
25,0.022,25.53658537,,25.55482918,,-0.018243817,-0.071441882,,
25,0.023,25.56097561,,25.57934904,,-0.018373431,-0.071880789,,
25,0.024,25.58536585,,25.60386763,,-0.018501781,-0.07231392,,
25,0.025,25.6097561,,25.62838497,,-0.018628868,-0.072741292,,
25,0.026,25.63414634,,25.65290103,,-0.018754691,-0.073162924,,
25,0.027,25.65853659,,25.67741584,,-0.018879251,-0.073578831,,
25,0.028,25.68292683,,25.70192938,,-0.019002549,-0.073989031,,
25,0.029,25.70731707,,25.72644166,,-0.019124584,-0.074393542,,
25,0.03,25.73170732,,25.75095267,,-0.019245357,-0.074792381,,
25,0.031,25.75609756,,25.77546243,,-0.019364867,-0.075185564,,
25,0.032,25.7804878,,25.79997092,,-0.019483116,-0.075573108,,
25,0.033,25.80487805,,25.82447815,,-0.019600103,-0.075955031,,
25,0.034,25.82926829,,25.84898412,,-0.019715829,-0.076331349,,
25,0.035,25.85365854,,25.87348883,,-0.019830293,-0.076702078,,
25,0.036,25.87804878,,25.89799228,,-0.019943497,-0.077067237,,
25,0.037,25.90243902,,25.92249446,,-0.02005544,-0.07742684,,
25,0.038,25.92682927,,25.94699539,,-0.020166123,-0.077780905,,
25,0.039,25.95121951,,25.97149506,,-0.020275545,-0.078129449,,
25,0.04,26,,25.99599346,,0.004006537,0.015409758,,
25,0.041,26.025,,26.02049061,,0.004509391,0.01732715,,
25,0.042,26.05,,26.0449865,,0.005013504,0.019245696,,
25,0.043,26.075,,26.06948112,,0.005518877,0.021165394,,
25,0.044,26.1,,26.09397449,,0.006025508,0.023086238,,
25,0.045,26.125,,26.1184666,,0.006533399,0.025008225,,
25,0.046,26.15,,26.14295745,,0.007042548,0.02693135,,
25,0.047,26.175,,26.16744704,,0.007552956,0.028855609,,
25,0.048,26.2,,26.19193538,,0.008064622,0.030780999,,
25,0.049,26.225,,26.21642245,,0.008577545,0.032707514,,
25,0.05,26.25,,26.24090827,,0.009091727,0.034635151,,
25,0.051,26.275,,26.26539283,,0.009607166,0.036563905,,
25,0.052,26.3,,26.28987614,,0.010123863,0.038493774,,
25,0.053,26.325,,26.31435818,,0.010641816,0.040424752,,
25,0.054,26.35,,26.33883897,,0.011161026,0.042356836,,
25,0.055,26.375,,26.36331851,,0.011681493,0.044290021,,
25,0.056,26.4,,26.38779678,,0.012203216,0.046224304,,
25,0.057,26.425,,26.4122738,,0.012726196,0.048159681,,
25,0.058,26.45,,26.43674957,,0.013250431,0.050096148,,
25,0.059,26.475,,26.46122408,,0.013775922,0.0520337,,
25,0.06,26.5,,26.48569733,,0.014302669,0.053972334,,
25,0.061,26.525,,26.51016933,,0.01483067,0.055912046,,
25,0.062,26.55,,26.53464007,,0.015359927,0.057852832,,
25,0.063,26.575,,26.55910956,,0.015890438,0.059794688,,
25,0.064,26.6,,26.5835778,,0.016422204,0.061737611,,
25,0.065,26.625,,26.60804478,,0.016955225,0.063681596,,
25,0.066,26.65,,26.6325105,,0.017489499,0.065626639,,
25,0.067,26.675,,26.65697497,,0.018025028,0.067572737,,
25,0.068,26.7,,26.68143819,,0.01856181,0.069519886,,
25,0.069,26.725,,26.70590015,,0.019099845,0.071468082,,
25,0.07,26.75,,26.73036087,,0.019639134,0.073417322,,
25,0.071,26.775,,26.75482032,,0.020179675,0.075367601,,
25,0.072,26.8,,26.77927853,,0.020721469,0.077318916,,
25,0.073,26.825,,26.80373548,,0.021264516,0.079271263,,
25,0.074,26.85,,26.82819118,,0.021808815,0.081224638,,
25,0.075,26.875,,26.85264563,,0.022354366,0.083179038,,
25,0.076,26.9,,26.87709883,,0.022901169,0.085134459,,
25,0.077,26.925,,26.90155078,,0.023449224,0.087090897,,
25,0.078,26.95,,26.92600147,,0.02399853,0.089048349,,
25,0.079,26.975,,26.95045091,,0.024549087,0.09100681,,
25,0.08,27,,26.9748991,,0.025100895,0.092966278,,
25,0.081,27,,26.99934605,,0.000653954,0.002422051,,
25,0.082,27.02439024,,27.02379174,,0.000598507,0.002214691,,
25,0.083,27.04878049,,27.04823618,,0.00054431,0.002012328,,
25,0.084,27.07317073,,27.07267937,,0.000491363,0.001814946,,
25,0.085,27.09756098,,27.09712131,,0.000439667,0.001622532,,
25,0.086,27.12195122,,27.121562,,0.000389219,0.001435071,,
25,0.087,27.14634146,,27.14600144,,0.000340021,0.001252549,,
25,0.088,27.17073171,,27.17043963,,0.000292072,0.001074952,,
25,0.089,27.19512195,,27.19487658,,0.000245372,0.000902266,,
25,0.09,27.2195122,,27.21931227,,0.000199921,0.000734477,,
25,0.091,27.24390244,,27.24374672,,0.000155718,0.000571571,,
25,0.092,27.26829268,,27.26817992,,0.000112763,0.000413533,,
25,0.093,27.29268293,,27.29261187,,7.11E-05,0.000260351,,
25,0.094,27.31707317,,27.31704257,,3.06E-05,0.00011201,,
25,0.095,27.34146341,,27.34147203,,-8.61E-06,-3.15E-05,,
25,0.096,27.36585366,,27.36590024,,-4.66E-05,-0.000170204,,
