ref_temp,measured_voltage,temp
25.0,0.199,29.878048780487806
25.0,0.2,29.902439024390244
25.0,0.201,29.926829268292686
25.0,0.202,29.951219512195124
25.0,0.203,29.975609756097562
25.0,0.204,30.0
25.0,0.205,30.02439024390244
25.0,0.206,30.048780487804876
25.0,0.207,30.07317073170732
25.0,0.208,30.097560975609756
25.0,0.209,30.121951219512198
25.0,0.21,30.146341463414636
25.0,0.211,30.170731707317078
25.0,0.212,30.195121951219512
25.0,0.213,30.219512195121954
25.0,0.214,30.243902439024392
25.0,0.215,30.268292682926834
25.0,0.216,30.29268292682927
25.0,0.217,30.31707317073171
25.0,0.218,30.34146341463415
25.0,0.219,30.36585365853659
25.0,0.22,30.390243902439025
25.0,0.221,30.414634146341466
25.0,0.222,30.439024390243905
25.0,0.223,30.463414634146346
25.0,0.224,30.48780487804878
25.0,0.225,30.512195121951223
25.0,0.226,30.53658536585366
25.0,0.227,30.560975609756103
25.0,0.228,30.585365853658537
25.0,0.229,30.60975609756098
25.0,0.23,30.634146341463417
25.0,0.231,30.65853658536586
25.0,0.232,30.682926829268293
25.0,0.233,30.707317073170735
25.0,0.234,30.731707317073173
25.0,0.235,30.756097560975608
25.0,0.236,30.78048780487805
25.0,0.237,30.80487804878049
25.0,0.238,30.82926829268293
25.0,0.239,30.853658536585364
25.0,0.24,30.878048780487806
25.0,0.241,30.902439024390247
25.0,0.242,30.926829268292686
25.0,0.243,30.951219512195124
25.0,0.244,30.975609756097562
25.0,0.245,31.0
25.0,0.246,31.024390243902435
25.0,0.247,31.048780487804873
25.0,0.248,31.073170731707314
25.0,0.249,31.097560975609756
25.0,0.25,31.12195121951219
25.0,0.251,31.14634146341463
25.0,0.252,31.17073170731707
25.0,0.253,31.195121951219512
25.0,0.254,31.219512195121947
25.0,0.255,31.243902439024385
25.0,0.256,31.268292682926827
25.0,0.257,31.29268292682927
25.0,0.258,31.317073170731703
25.0,0.259,31.34146341463414
25.0,0.26,31.365853658536583
25.0,0.261,31.390243902439025
25.0,0.262,31.41463414634146
25.0,0.263,31.439024390243894
25.0,0.264,31.46341463414634
25.0,0.265,31.487804878048777
25.0,0.266,31.512195121951216
25.0,0.267,31.53658536585365
25.0,0.268,31.560975609756092
25.0,0.269,31.585365853658534
25.0,0.27,31.60975609756097
25.0,0.271,31.634146341463406
25.0,0.272,31.658536585365848
25.0,0.273,31.68292682926829
25.0,0.274,31.707317073170728
25.0,0.275,31.731707317073162
25.0,0.276,31.756097560975604
25.0,0.277,31.780487804878046
25.0,0.278,31.804878048780484
25.0,0.279,31.82926829268292
25.0,0.28,31.85365853658536
25.0,0.281,31.878048780487802
25.0,0.282,31.90243902439024
25.0,0.283,31.926829268292675
25.0,0.284,31.951219512195117
25.0,0.285,31.975609756097555
25.0,0.286,31.999999999999993
25.0,0.287,32.0
25.0,0.288,32.023809523809526
25.0,0.289,32.04761904761905
25.0,0.29,32.07142857142858
25.0,0.291,32.095238095238095
25.0,0.292,32.11904761904762
25.0,0.293,32.142857142857146
25.0,0.294,32.16666666666667
25.0,0.295,32.19047619047619
25.0,0.296,32.214285714285715
25.0,0.297,32.23809523809524
25.0,0.298,32.261904761904766
25.0,0.299,32.285714285714285
25.0,0.3,32.30952380952381
